--- Page Replacement Timeline ---

Step  | Page  | Event | Evicted | Frames State
------------------------------------------------------------
1     | 16    | Fault | ---     | 16
2     | 2     | Fault | ---     | 16, 2
3     | 12    | Fault | ---     | 16, 2, 12
4     | 11    | Fault | ---     | 16, 2, 12, 11
5     | 14    | Fault | ---     | 16, 2, 12, 11, 14
6     | 0     | Fault | ---     | 16, 2, 12, 11, 14, 0
7     | 12    | Hit   | ---     | 16, 2, 12, 11, 14, 0
8     | 20    | Fault | ---     | 16, 2, 12, 11, 14, 0, 20
9     | 3     | Fault | ---     | 16, 2, 12, 11, 14, 0, 20, 3
10    | 17    | Fault | ---     | 16, 2, 12, 11, 14, 0, 20, 3, 17
11    | 11    | Hit   | ---     | 16, 2, 12, 11, 14, 0, 20, 3, 17
12    | 9     | Fault | ---     | 16, 2, 12, 11, 14, 0, 20, 3, 17, 9
13    | 8     | Fault | 3       | 16, 2, 12, 11, 14, 0, 20, 17, 9, 8
14    | 0     | Hit   | ---     | 16, 2, 12, 11, 14, 0, 20, 17, 9, 8
15    | 11    | Hit   | ---     | 16, 2, 12, 11, 14, 0, 20, 17, 9, 8
16    | 9     | Hit   | ---     | 16, 2, 12, 11, 14, 0, 20, 17, 9, 8
17    | 18    | Fault | 8       | 16, 2, 12, 11, 14, 0, 20, 17, 9, 18
18    | 5     | Fault | 20      | 16, 2, 12, 11, 14, 0, 17, 9, 18, 5
19    | 10    | Fault | 12      | 16, 2, 11, 14, 0, 17, 9, 18, 5, 10
20    | 11    | Hit   | ---     | 16, 2, 11, 14, 0, 17, 9, 18, 5, 10
21    | 17    | Hit   | ---     | 16, 2, 11, 14, 0, 17, 9, 18, 5, 10
22    | 10    | Hit   | ---     | 16, 2, 11, 14, 0, 17, 9, 18, 5, 10
23    | 16    | Hit   | ---     | 16, 2, 11, 14, 0, 17, 9, 18, 5, 10
24    | 6     | Fault | 16      | 2, 11, 14, 0, 17, 9, 18, 5, 10, 6
25    | 14    | Hit   | ---     | 2, 11, 14, 0, 17, 9, 18, 5, 10, 6
26    | 2     | Hit   | ---     | 2, 11, 14, 0, 17, 9, 18, 5, 10, 6
27    | 9     | Hit   | ---     | 2, 11, 14, 0, 17, 9, 18, 5, 10, 6
28    | 13    | Fault | 2       | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
29    | 10    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
30    | 13    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
31    | 5     | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
32    | 11    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
33    | 13    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
34    | 6     | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
35    | 18    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
36    | 17    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 10, 6, 13
37    | 19    | Fault | 10      | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
38    | 0     | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
39    | 13    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
40    | 0     | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
41    | 17    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
42    | 14    | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 19
43    | 16    | Fault | 19      | 11, 14, 0, 17, 9, 18, 5, 6, 13, 16
44    | 9     | Hit   | ---     | 11, 14, 0, 17, 9, 18, 5, 6, 13, 16
